City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
299,Kamaishi,JP,39.2667,141.8833,69.89,90,100,7.07,overcast clouds
300,Danesti,RO,46.5167,25.75,55.81,91,81,3.13,broken clouds
301,Haapiti,PF,-17.5667,-149.8667,80.33,61,12,20.24,few clouds
302,Dawlatabad,AF,36.4141,64.9053,72.27,13,0,4.34,clear sky
303,Sitka,US,57.0531,-135.33,58.89,58,75,11.5,broken clouds
304,Sechura,PE,-5.5569,-80.8222,76.37,59,35,14.27,scattered clouds
305,Hasaki,JP,35.7333,140.8333,70.29,75,100,11.74,overcast clouds
306,Hammerfest,NO,70.6634,23.6821,45.05,100,75,17.27,broken clouds
307,Waverly,US,42.7392,-84.6208,80.76,59,0,8.05,clear sky
308,Maniitsoq,GL,65.4167,-52.9,45.75,90,100,9.13,overcast clouds
309,Diamantino,BR,-14.4086,-56.4461,96.6,25,26,6.69,scattered clouds
310,Camacha,PT,33.0833,-16.3333,72.82,83,75,13.8,broken clouds
311,Svetlaya,RU,46.5389,138.3297,54.45,82,100,2.91,overcast clouds
312,Komsomolskiy,UZ,40.4272,71.7189,66.92,45,100,6.91,overcast clouds
313,Jijiga,ET,9.35,42.8,66.04,69,37,9.91,scattered clouds
314,Buraydah,SA,26.326,43.975,91.85,18,0,9.91,clear sky
315,Bethel,US,41.3712,-73.414,74.55,46,0,9.22,clear sky
316,Marzuq,YE,14.4,46.4667,82.51,41,100,3.6,overcast clouds
317,Bandarbeyla,SO,9.4942,50.8122,77.81,81,100,29.44,overcast clouds
318,Bengkulu,ID,-3.8004,102.2655,74.86,91,100,4.21,overcast clouds
319,Farmington,US,36.7281,-108.2187,81.77,29,0,10.36,clear sky
320,Namibe,AO,-15.1961,12.1522,67.15,87,100,10.22,overcast clouds
321,Kumluca,TR,36.3703,30.2869,79.83,60,0,4.18,clear sky
322,Birao,CF,10.2849,22.7882,70.99,97,84,5.99,broken clouds
323,San Jeronimo,PE,-11.9472,-75.2829,60.78,48,72,6.13,broken clouds
324,Belaya Gora,RU,68.5333,146.4167,33.69,86,95,1.79,overcast clouds
325,Khilok,RU,51.3674,110.4676,38.79,99,100,9.26,moderate rain
326,Cabedelo,BR,-6.9811,-34.8339,81.27,70,53,10.89,broken clouds
327,Lorengau,PG,-2.0226,147.2712,81.28,72,100,7.49,overcast clouds
328,Nuuk,GL,64.1835,-51.7216,52.41,82,75,6.91,broken clouds
329,Ploufragan,FR,48.4914,-2.7946,58.86,72,0,5.75,clear sky
330,Ahuimanu,US,21.4447,-157.8378,83.86,72,40,3.44,scattered clouds
331,Mabaruma,GY,8.2,-59.7833,85.53,69,100,6.53,overcast clouds
332,Jieshi,CN,22.8134,115.8257,79.92,77,6,4.07,clear sky
333,The Valley,AI,18.217,-63.0578,87.66,74,40,17.27,scattered clouds
334,Dilla,ET,6.41,38.31,62.56,87,100,4.32,overcast clouds
335,Vao,NC,-22.6667,167.4833,70.79,69,99,13.98,overcast clouds
336,Ancud,CL,-41.8697,-73.8203,48.22,53,97,10.56,overcast clouds
337,Ketchikan,US,55.3422,-131.6461,55.87,76,40,12.66,scattered clouds
338,Rudbar,AF,30.15,62.6,82.85,14,0,10.89,clear sky
339,Nong Kung Si,TH,16.65,103.3,79.83,99,100,3.4,overcast clouds
340,Yeppoon,AU,-23.1333,150.7333,65.98,95,8,4.09,clear sky
341,Iskateley,RU,67.6803,53.1512,49.35,94,100,9.93,overcast clouds
342,Culebra,PR,18.303,-65.301,84.29,76,100,21.9,overcast clouds
343,Lagoa,PT,39.05,-27.9833,72.95,85,45,14.12,light rain
344,Kimbe,PG,-5.5502,150.1429,74.77,94,77,2.75,broken clouds
